,0
0,Editorial Board
1,Sustainable nanocomposites of epoxy and silica xerogel synthesized from corn stalk ash: Enhanced thermal and acoustic insulation performance
2,Plastic deformation mechanisms in severely strained eutectic high entropy composites explained via strain rate sensitivity and activation volume
3,Experimental investigation on out-of-plane behavior of masonry panels strengthened with CFRP sheets
4,Local stress in periodic composites via the Riesz summability method
5,What are the key parameters to produce a high-grade bio-based composite? Application to flax/epoxy UD laminates produced by thermocompression
6,Experimental study on fatigue performance of adhesively bonded anchorage system for CFRP tendons
7,Facile preparation of reduced graphene oxide/copper sulfide composite as electrode materials for supercapacitors with high energy density
8,Vibrational characteristics of embedded microbeams lying on a two-parameter elastic foundation in thermal environment
9,Experimental and numerical investigation on the crashworthiness of a composite fuselage sub-floor support system
10,Prediction of notched strength for cylindrical composites pipes under tensile loading conditions
11,A novel pseudo-grain approach for the estimation of the elastic stress distributions within the matrix of short fiber-reinforced polymers
12,A new approach for bending analysis of bilayer conical graphene panels considering nonlinear van der Waals force
13,"Free vibration analysis of axially functionally graded tapered, stepped, and continuously segmented rods and beams"
14,Multi-scale wave propagation modelling for two-dimensional periodic textile composites
15,Hygrothermal viscoelastic material characterisation of unidirectional continuous carbon-fibre reinforced polyamide 6
16,Mechanical buckling analysis of functionally graded power-based and carbon nanotubes-reinforced composite plates and curved panels
17,"Design, analysis and optimization of anisogrid composite lattice conical shells"
18,Fiber reinforced composites sandwich panels with web reinforced wood core for building floor applications
19,Vibration-based identification of mechanical properties of orthotropic arbitrarily shaped plates: Numerical and experimental assessment
20,Impact response and energy absorption of single phase syntactic foam
21,Facile synthesis of porous CuCo2O4 composite sheets and their supercapacitive performance
22,Fracture toughness of thermally sprayed MoSi2 composite with different melting indices
23,Analytical optimization of a nanoparticle of microstructural fused deposition of resins for additive manufacturing
24,Dynamical response of an embedded nanobeam by using nonlocal integral stress models
25,Facile synthesis of CuCo2O4 composite octahedrons for high performance supercapacitor application
26,Fabrication and characterization of olive pomace filled PP composites
27,Thermally conductive polymer composites and nanocomposites: Processing-structure-property relationships
28,Editorial Board
29,Hierarchical micromechanical modeling of the viscoelastic behavior coupled to damage in SMC and SMC-hybrid composites
30,A crack healable syntactic foam reinforced by 3D printed healing-agent based honeycomb
31,Application of sinusoidal shear deformation theory and physical neutral surface to analysis of functionally graded piezoelectric plate
32,Structural behaviour of hybrid glass beams with T cross-sections
33,Nanoporous gold reinforced with carbon based nanomaterials: A molecular dynamics study
34,Multi-material adhesive joints for automotive industry
35,Strengthened infilled RC frames: Continuum and macro modeling in nonlinear finite element analysis
36,On modal analysis of laminated glass: Usability of simplified methods and Enhanced Effective Thickness
37,Quantitative analysis of QSI and LVI damage in GFRP unidirectional composite laminates by a new ultrasonic approach
38,High performance 3-node shell element for linear and geometrically nonlinear analysis of composite laminates
39,Comparison of mechanical properties of C-S-H and portlandite between nano-indentation experiments and a modeling approach using various simulation techniques
40,New evaluation of interfacial and mechanical properties of thermally- treated Pine/CFRP composites using electrical resistance measurement
41,A phenomenological model for dynamic response of double-network hydrogel composite undergoing transient transition
42,Synthesis and characterization of eco-friendly carboxymethyl cellulose based carbon foam using electron beam irradiation
43,An analytical study of sound transmission through corrugated core FGM sandwich plates filled with porous material
